ID	Description	geneID	status	celltype	Tissue	dataset	Dataset name
GO:0015909	long-chain fatty acid transport	FABP4/THBS1/APOE	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0033700	phospholipid efflux	APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0032370	positive regulation of lipid transport	RETN/IL1B/APOE	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:1905954	positive regulation of lipid localization	RETN/IL1B/APOE	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0045833	negative regulation of lipid metabolic process	IL1B/APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0050995	negative regulation of lipid catabolic process	IL1B/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0065005	protein-lipid complex assembly	APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:2000191	regulation of fatty acid transport	THBS1/IL1B	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0034368	protein-lipid complex remodeling	APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0140353	lipid export from cell	RETN/IL1B	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0032369	negative regulation of lipid transport	THBS1/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0046890	regulation of lipid biosynthetic process	IL1B/APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0071825	protein-lipid complex organization	APOE/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0042304	regulation of fatty acid biosynthetic process	IL1B/APOC1	Down	C6_Macrophages_RBM47	Lung	GSE145926	Liao et al. (BALF)
GO:0006869	lipid transport	FABP4/APOE/RETN/APOC1/MSR1/FABP5/TSPO/RBP4/PSAP/INHBA/PLIN2/LIPA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0033559	unsaturated fatty acid metabolic process	FABP5/ALOX5/MGST3/CD74/SCD	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0015909	long-chain fatty acid transport	FABP4/APOE/FABP5/PLIN2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:1905952	regulation of lipid localization	APOE/RETN/APOC1/MSR1/TSPO/PLIN2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0030301	cholesterol transport	APOE/APOC1/MSR1/TSPO/LIPA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0019915	lipid storage	APOE/MSR1/PLIN2/LIPA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0140353	lipid export from cell	RETN/TSPO/INHBA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0033700	phospholipid efflux	APOE/APOC1	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	FABP5/CD74	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0006631	fatty acid metabolic process	ALOX5AP/APOC1/FABP5/ALOX5/MGST3/CD74/SCD/LIPA	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0006636	unsaturated fatty acid biosynthetic process	FABP5/CD74/SCD	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0006633	fatty acid biosynthetic process	APOC1/FABP5/ALOX5/CD74/SCD	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:0042304	regulation of fatty acid biosynthetic process	APOC1/FABP5/CD74	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:1905954	positive regulation of lipid localization	APOE/RETN/MSR1/PLIN2	Down	C2_Epithelial_CAPS	Lung	GSE145926	Liao et al. (BALF)
GO:1905952	regulation of lipid localization	APOC1/TSPO/MSR1/PPARG/RETN/ABCG1/APOE/ABHD5	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:1905953	negative regulation of lipid localization	APOC1/TSPO/PPARG/ABCG1/ABHD5	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0033700	phospholipid efflux	APOC1/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0050872	white fat cell differentiation	FABP4/PPARG/FFAR4	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0055088	lipid homeostasis	FABP4/TSPO/PPARG/RTN4/ABCG1/APOE/ABHD5	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0032374	regulation of cholesterol transport	APOC1/TSPO/PPARG/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0010885	regulation of cholesterol storage	MSR1/PPARG/ABCG1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0030301	cholesterol transport	APOC1/TSPO/MSR1/PPARG/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0010888	negative regulation of lipid storage	PPARG/ABCG1/ABHD5	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0019915	lipid storage	MSR1/PPARG/ABCG1/APOE/ABHD5	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0009395	phospholipid catabolic process	APOC1/PNPLA6/GPCPD1/PLBD1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0010883	regulation of lipid storage	MSR1/PPARG/ABCG1/ABHD5	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0016042	lipid catabolic process	APOC1/PNPLA6/GPCPD1/NCEH1/HSD17B11/PLBD1/APOE/ACER3/ABHD5	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0010878	cholesterol storage	MSR1/PPARG/ABCG1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0032368	regulation of lipid transport	APOC1/TSPO/PPARG/RETN/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0010875	positive regulation of cholesterol efflux	PPARG/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0046503	glycerolipid catabolic process	APOC1/PNPLA6/GPCPD1/ABHD5	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:1905954	positive regulation of lipid localization	MSR1/PPARG/RETN/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0034368	protein-lipid complex remodeling	APOC1/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0046475	glycerophospholipid catabolic process	APOC1/PNPLA6/GPCPD1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0033344	cholesterol efflux	APOC1/PPARG/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0045444	fat cell differentiation	FABP4/ALOX5/TCF7L2/PPARG/RETN/CEBPB/FFAR4	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0032376	positive regulation of cholesterol transport	PPARG/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0010887	negative regulation of cholesterol storage	PPARG/ABCG1	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0032370	positive regulation of lipid transport	PPARG/RETN/ABCG1/APOE	Down	C3_Epithelial_TYROBP	Lung	GSE145926	Liao et al. (BALF)
GO:0045444	fat cell differentiation	METRNL/ZFP36L1/STK4/RORA/NR4A2/FOSL2/PIM1/HNRNPU/CEBPB/SOD2/TGFB1/RGS2	Up	C10_T|NK_NKG7	Lung	GSE149878	Xu et al. (Lung)
GO:0045598	regulation of fat cell differentiation	METRNL/ZFP36L1/STK4/RORA/PIM1/HNRNPU/CEBPB/SOD2/TGFB1	Up	C10_T|NK_NKG7	Lung	GSE149878	Xu et al. (Lung)
GO:0045600	positive regulation of fat cell differentiation	METRNL/ZFP36L1/STK4/PIM1/HNRNPU/CEBPB	Up	C10_T|NK_NKG7	Lung	GSE149878	Xu et al. (Lung)
GO:0050873	brown fat cell differentiation	METRNL/PIM1/HNRNPU/CEBPB/RGS2	Up	C10_T|NK_NKG7	Lung	GSE149878	Xu et al. (Lung)
GO:0090336	positive regulation of brown fat cell differentiation	METRNL/PIM1/HNRNPU	Up	C10_T|NK_NKG7	Lung	GSE149878	Xu et al. (Lung)
GO:0090335	regulation of brown fat cell differentiation	METRNL/PIM1/HNRNPU	Up	C10_T|NK_NKG7	Lung	GSE149878	Xu et al. (Lung)
GO:0033559	unsaturated fatty acid metabolic process	MGST3/HPGD/CD74/AKR1C2/AKR1C3/ALOX5	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0006631	fatty acid metabolic process	MGST3/HPGD/CD74/LPL/AKR1C2/AKR1C3/ALOX5/ALOX5AP/CES1	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0071398	cellular response to fatty acid	LPL/AKR1C2/AKR1C3	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0042632	cholesterol homeostasis	LPL/FABP4/CES1/TSPO	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0140353	lipid export from cell	INHBA/RETN/TSPO	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0070542	response to fatty acid	LPL/AKR1C2/AKR1C3	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0010885	regulation of cholesterol storage	LPL/CES1	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0071397	cellular response to cholesterol	INHBA/CES1	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0016042	lipid catabolic process	HSD17B11/HPGD/LPL/AKR1C3/PLBD1/CES1	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0010878	cholesterol storage	LPL/CES1	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0006633	fatty acid biosynthetic process	CD74/LPL/AKR1C3/ALOX5	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0070723	response to cholesterol	INHBA/CES1	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0055088	lipid homeostasis	LPL/FABP4/CES1/TSPO	Down	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0071825	protein-lipid complex organization	PLA2G7/ABCA1/PLTP/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0010875	positive regulation of cholesterol efflux	ABCA1/PLTP/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:1905954	positive regulation of lipid localization	SPP1/ABCA1/PLTP/CD36/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0015909	long-chain fatty acid transport	CD36/APOE/FABP5/THBS1	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0045444	fat cell differentiation	SOD2/ZFP36L1/METRNL/CEBPD/ZFP36/RGS2/ZFP36L2	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:1905952	regulation of lipid localization	SPP1/ABCA1/PLTP/CD36/APOE/THBS1	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0034368	protein-lipid complex remodeling	PLA2G7/PLTP/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0032376	positive regulation of cholesterol transport	ABCA1/PLTP/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0015911	long-chain fatty acid import across plasma membrane	CD36/THBS1	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0032370	positive regulation of lipid transport	SPP1/ABCA1/PLTP/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0045598	regulation of fat cell differentiation	SOD2/ZFP36L1/METRNL/ZFP36/ZFP36L2	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0032368	regulation of lipid transport	SPP1/ABCA1/PLTP/APOE/THBS1	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0033700	phospholipid efflux	ABCA1/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0015914	phospholipid transport	ABCA1/PLTP/VMP1/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0010874	regulation of cholesterol efflux	ABCA1/PLTP/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0120009	intermembrane lipid transfer	ABCA1/PLTP/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0044539	long-chain fatty acid import into cell	CD36/THBS1	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0015908	fatty acid transport	CD36/APOE/FABP5/THBS1	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0010885	regulation of cholesterol storage	ABCA1/CD36	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0006869	lipid transport	SPP1/ABCA1/PLTP/CD36/VMP1/APOE/FABP5/THBS1	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0043691	reverse cholesterol transport	ABCA1/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0140354	lipid import into cell	CD36/THBS1	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:1902001	fatty acid transmembrane transport	CD36/THBS1	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0030301	cholesterol transport	ABCA1/PLTP/CD36/APOE	Up	C6_Macrophages_C1QA	Lung	GSE149878	Xu et al. (Lung)
GO:0071398	cellular response to fatty acid	EDN1/ID3/HES1/PDK4	Down	C9_CD4 memory_IL7R	Lung	GSE149878	Xu et al. (Lung)
GO:0090520	sphingolipid mediated signaling pathway	S1PR1/RAC1/PLPP3	Down	C9_CD4 memory_IL7R	Lung	GSE149878	Xu et al. (Lung)
GO:0045444	fat cell differentiation	ZFP36L2/STK4/RORA/HNRNPU/ARID5B/NR4A2/SOCS1/SOD2/CEBPB/RGS2/PIM1/DUSP10	Up	C9_CD4 memory_IL7R	Lung	GSE149878	Xu et al. (Lung)
GO:0045598	regulation of fat cell differentiation	ZFP36L2/STK4/RORA/HNRNPU/SOD2/CEBPB/PIM1/DUSP10	Up	C9_CD4 memory_IL7R	Lung	GSE149878	Xu et al. (Lung)
GO:0050873	brown fat cell differentiation	HNRNPU/CEBPB/RGS2/PIM1/DUSP10	Up	C9_CD4 memory_IL7R	Lung	GSE149878	Xu et al. (Lung)
GO:0090335	regulation of brown fat cell differentiation	HNRNPU/PIM1/DUSP10	Up	C9_CD4 memory_IL7R	Lung	GSE149878	Xu et al. (Lung)
GO:0008203	cholesterol metabolic process	FDPS/EBP/APOC1/SQLE/TM7SF2	Down	C2_Epithelial_AT2_SFTPC	Lung	GSE149878	Xu et al. (Lung)
GO:0045600	positive regulation of fat cell differentiation	HNRNPU/ZFP36L1/ZFP36	Up	C2_Epithelial_AT2_SFTPC	Lung	GSE149878	Xu et al. (Lung)
GO:0045598	regulation of fat cell differentiation	SOD2/HNRNPU/ZFP36L1/ZFP36	Up	C2_Epithelial_AT2_SFTPC	Lung	GSE149878	Xu et al. (Lung)
GO:0045444	fat cell differentiation	SOD2/NR4A1/HNRNPU/ZFP36L1/ZFP36	Up	C2_Epithelial_AT2_SFTPC	Lung	GSE149878	Xu et al. (Lung)
GO:0071398	cellular response to fatty acid	EDN1/ID3/HES1/PDK4	Down	C8_CD8_GZMK	Lung	GSE149878	Xu et al. (Lung)
GO:0070542	response to fatty acid	EDN1/ID3/HES1/PDK4	Down	C8_CD8_GZMK	Lung	GSE149878	Xu et al. (Lung)
GO:0045444	fat cell differentiation	ZFP36L2/STK4/NR4A2/HNRNPU/RORA/ID2/RGS2/ZFP36L1/ARID5B/METRNL/DUSP10	Up	C8_CD8_GZMK	Lung	GSE149878	Xu et al. (Lung)
GO:0045598	regulation of fat cell differentiation	ZFP36L2/STK4/HNRNPU/RORA/ID2/ZFP36L1/METRNL/DUSP10	Up	C8_CD8_GZMK	Lung	GSE149878	Xu et al. (Lung)
GO:0045600	positive regulation of fat cell differentiation	STK4/HNRNPU/ID2/ZFP36L1/METRNL	Up	C8_CD8_GZMK	Lung	GSE149878	Xu et al. (Lung)
GO:2001279	regulation of unsaturated fatty acid biosynthetic process	ANXA1/PTGS2	Up	C15_Mast_CPA3	Lung	GSE149878	Xu et al. (Lung)
GO:0090336	positive regulation of brown fat cell differentiation	PTGS2/HNRNPU	Up	C15_Mast_CPA3	Lung	GSE149878	Xu et al. (Lung)
GO:0045723	positive regulation of fatty acid biosynthetic process	ANXA1/PTGS2	Up	C15_Mast_CPA3	Lung	GSE149878	Xu et al. (Lung)
GO:0090335	regulation of brown fat cell differentiation	PTGS2/HNRNPU	Up	C15_Mast_CPA3	Lung	GSE149878	Xu et al. (Lung)
GO:0045923	positive regulation of fatty acid metabolic process	ANXA1/PTGS2	Up	C15_Mast_CPA3	Lung	GSE149878	Xu et al. (Lung)
GO:0006636	unsaturated fatty acid biosynthetic process	ANXA1/PTGS2	Up	C15_Mast_CPA3	Lung	GSE149878	Xu et al. (Lung)
GO:0050873	brown fat cell differentiation	PTGS2/HNRNPU	Up	C15_Mast_CPA3	Lung	GSE149878	Xu et al. (Lung)
GO:0042304	regulation of fatty acid biosynthetic process	ANXA1/PTGS2	Up	C15_Mast_CPA3	Lung	GSE149878	Xu et al. (Lung)
GO:0045600	positive regulation of fat cell differentiation	PTGS2/HNRNPU	Up	C15_Mast_CPA3	Lung	GSE149878	Xu et al. (Lung)
GO:1905954	positive regulation of lipid localization	SPP1/PLIN2/APOE/IL1B/NFKBIA/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:1905952	regulation of lipid localization	SPP1/PLIN2/THBS1/APOE/IL1B/NFKBIA/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0032370	positive regulation of lipid transport	SPP1/APOE/IL1B/NFKBIA/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0032368	regulation of lipid transport	SPP1/THBS1/APOE/IL1B/NFKBIA/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0015908	fatty acid transport	PLIN2/THBS1/APOE/IL1B/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0015909	long-chain fatty acid transport	PLIN2/THBS1/APOE/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:2000191	regulation of fatty acid transport	THBS1/IL1B/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0006869	lipid transport	SPP1/VMP1/PLIN2/THBS1/APOE/IL1B/NFKBIA/ACSL1/SFTPA1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0015911	long-chain fatty acid import across plasma membrane	THBS1/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0019915	lipid storage	PLIN2/APOE/IL1B/NFKBIA	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0044539	long-chain fatty acid import into cell	THBS1/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0030730	sequestering of triglyceride	PLIN2/IL1B	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0140354	lipid import into cell	THBS1/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:1902001	fatty acid transmembrane transport	THBS1/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:2000193	positive regulation of fatty acid transport	IL1B/ACSL1	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0045598	regulation of fat cell differentiation	SOD2/ZFP36/CEBPB/ZFP36L2	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0010875	positive regulation of cholesterol efflux	APOE/NFKBIA	Up	C3_Epithelial_Secretory_SCGB1A1	Lung	GSE149878	Xu et al. (Lung)
GO:0070542	response to fatty acid	PDK4/LPL/AKR1C3/SCD/HES1/ID3	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0071398	cellular response to fatty acid	PDK4/LPL/AKR1C3/HES1/ID3	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0030301	cholesterol transport	APOC1/CES1/CAV1/APOE/ANXA2/MSR1/LRP1/CLU	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0032376	positive regulation of cholesterol transport	CES1/CAV1/APOE/ANXA2/LRP1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0006869	lipid transport	INHBA/FABP4/RBP4/APOC1/CES1/SELENOM/CAV1/APOE/ANXA2/PSAP/MSR1/LRP1/SFTPA1/CLU	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:1905954	positive regulation of lipid localization	LPL/CES1/CAV1/APOE/ANXA2/MSR1/LRP1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0032374	regulation of cholesterol transport	APOC1/CES1/CAV1/APOE/ANXA2/LRP1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0010875	positive regulation of cholesterol efflux	CES1/CAV1/APOE/LRP1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:1905952	regulation of lipid localization	LPL/APOC1/CES1/CAV1/APOE/ANXA2/MSR1/LRP1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0046890	regulation of lipid biosynthetic process	CD74/PDK4/APOC1/CES1/APOE/AKR1C3/IGFBP7/SOD1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0033344	cholesterol efflux	APOC1/CES1/CAV1/APOE/LRP1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0033559	unsaturated fatty acid metabolic process	CD74/MGST3/AKR1B1/AKR1C3/SCD/GSTP1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0010885	regulation of cholesterol storage	LPL/CES1/MSR1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0006633	fatty acid biosynthetic process	CD74/PDK4/LPL/APOC1/AKR1C3/SCD/GSTP1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0006631	fatty acid metabolic process	CD74/PDK4/LPL/APOC1/CES1/CAV1/MGST3/AKR1B1/AKR1C3/SCD/GSTP1	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
GO:0043691	reverse cholesterol transport	CES1/APOE/CLU	Down	C5_Macrophages_RBM47	Lung	GSE149878	Xu et al. (Lung)
